Song,URL
"Oh, Sister [Feat. Courtney Marie Andrews] Logan Ledger",https://www.youtube.com/watch?v=OeJeC_xYIf4
Whistle For The Choir The Fratellis,https://www.youtube.com/watch?v=o1oKBbReaOs
Celeste Roger Eno,https://www.youtube.com/watch?v=5LqxN3bRkRw
"to Perth, before the border closes Julia Jacklin",https://www.youtube.com/watch?v=3Ck5b91CeEw
Sex & Drugs & Rock & Roll Ian Dury,https://www.youtube.com/watch?v=sfp8xrNAS6I
Romantic Rights Death From Above 1979,https://www.youtube.com/watch?v=2Ia3baO8qHQ
Echo Beach Martha and the Muffins,https://www.youtube.com/watch?v=lpqDTQOFvf0
Get Close - Edit Elvin T,https://www.youtube.com/watch?v=gVBbKbyNLiE
Starstruck - Vegyn Remix Years & Years,https://www.youtube.com/watch?v=7zSWqZKYylk
Street Justice Death Valley Girls,https://www.youtube.com/watch?v=mSImYVY8hLA
Given Up whenyoung,https://www.youtube.com/watch?v=tXB9KzW-KJE
live forever almost monday,https://www.youtube.com/watch?v=cL_okCXNYXY
Idealistic Digitalism,https://www.youtube.com/watch?v=EsIr_en-Tpo
Ill Wind Radiohead,https://www.youtube.com/watch?v=5C7tfLhHaeU
Akal Ki Aukai,https://www.youtube.com/watch?v=ri3KMW1FKXQ
Sweet Sensation Otis Kane,https://www.youtube.com/watch?v=8kYFfxL19Gc
Landon Grace Pettis,https://www.youtube.com/watch?v=jVlTXXy2dRo
PARABLE 3 Young Clancy,https://www.youtube.com/watch?v=n_TydpclMXY
Feel the Same Bully,https://www.youtube.com/watch?v=EtqaZsPdwDo
Pretty Pimpin Kurt Vile,https://www.youtube.com/watch?v=659pppwniXA
Vibe Session 2 808vic,https://www.youtube.com/watch?v=28IsaFWcQtM
Ocean of Night Editors,https://www.youtube.com/watch?v=nqlY2fxaFrw
We Found It Myd,https://www.youtube.com/watch?v=_nf4kkVc3Ho
Swim and Sleep (Like a Shark) Unknown Mortal Orchestra,https://www.youtube.com/watch?v=E6Niqxw_Yz0
Teen Age Riot (Album Version) Sonic Youth,https://www.youtube.com/watch?v=10rLJjBLQZ8
On Your Mind Doss,https://www.youtube.com/watch?v=Db5crGjBvE4
She Sells Sanctuary The Cult,https://www.youtube.com/watch?v=ZCOSPtyZAPA
Drug Dealer In The Whale,https://www.youtube.com/watch?v=wpFz_ZYfTnE
Parallel (feat. Manu Delago) Poppy Ackroyd,https://www.youtube.com/watch?v=dj1SM_5ZzTQ
Julia Yellow Ostrich,https://www.youtube.com/watch?v=0n7ApIZopr4
Mishkin Paul Haslinger,https://www.youtube.com/watch?v=gBPx-oT8rDM
Just Exist Eliza & The Delusionals,https://www.youtube.com/watch?v=ApZAhiupGxE
Want What You Got The Beaches,https://www.youtube.com/watch?v=gggDVJfvhgM
Bang Bang You're Dead Dirty Pretty Things,https://www.youtube.com/watch?v=y2Fb4cEVyLU
Kyoto Phoebe Bridgers,https://www.youtube.com/watch?v=Tw0zYd0eIlk
1979 - Remastered 2012 The Smashing Pumpkins,https://www.youtube.com/watch?v=4aeETEoNfOg
